Designator,Mid X,Mid Y,Layer,Rotation
C1,128.524000mm,-45.974000mm,Top,90
C2,129.540000mm,-52.514500mm,Top,180
C3,130.746500mm,-45.947500mm,Top,90
C4,153.008500mm,-37.084000mm,Top,0
C5,153.061500mm,-35.306000mm,Top,0
C6,128.778000mm,-28.702000mm,Top,180
C7,149.352000mm,-37.084000mm,Top,180
D1,118.872000mm,-43.434000mm,Top,180
D2,111.284000mm,-43.434000mm,Top,180
D3,136.652000mm,-28.702000mm,Top,180
D4,136.652000mm,-32.004000mm,Top,180
D5,136.652000mm,-35.052000mm,Top,180
J2,111.760000mm,-34.544000mm,Top,270
Q1,129.794000mm,-59.436000mm,Top,0
Q3,141.986000mm,-30.480000mm,Top,180
Q4,141.986000mm,-35.306000mm,Top,180
R2,127.508000mm,-59.436000mm,Top,270
R3,136.652000mm,-27.686000mm,Top,0
R4,132.080000mm,-59.436000mm,Top,90
R5,141.986000mm,-28.194000mm,Top,180
R6,141.986000mm,-33.020000mm,Top,180
R7,136.652000mm,-30.988000mm,Top,0
R8,117.856000mm,-32.766000mm,Top,90
R9,117.856000mm,-36.676500mm,Top,270
R10,150.114000mm,-35.560000mm,Top,0
R11,136.652000mm,-34.036000mm,Top,0
SW1,150.749000mm,-29.591000mm,Top,0
U1,129.603500mm,-49.784000mm,Top,0
U2,145.288000mm,-48.006000mm,Top,270
U4,123.190000mm,-33.274000mm,Top,0
