Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",128.524000,-45.974000,90.000000,top
"C2","470p","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",129.540000,-52.514500,180.000000,top
"C3","2.2u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",130.746500,-45.947500,90.000000,top
"C4","0.1u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",153.008500,-37.084000,0.000000,top
"C5","22u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",153.061500,-35.306000,0.000000,top
"C6","0.1u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",128.778000,-28.702000,180.000000,top
"C7","0.1u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",149.352000,-37.084000,180.000000,top
"D1","MDD-SS14","D_SMA",118.872000,-43.434000,180.000000,top
"D2","MDD-SS14","D_SMA",111.284000,-43.434000,180.000000,top
"D3","LED","LED_0201_0603Metric_Pad0.64x0.40mm_HandSolder",136.652000,-28.702000,180.000000,top
"D4","LED","LED_0201_0603Metric_Pad0.64x0.40mm_HandSolder",136.652000,-32.004000,180.000000,top
"D5","LED","LED_0201_0603Metric_Pad0.64x0.40mm_HandSolder",136.652000,-35.052000,180.000000,top
"J2","USB_C_Receptacle_USB2.0","USB_C_Receptacle_HRO_TYPE-C-31-M-12",111.760000,-34.544000,270.000000,top
"Q1","S8050","SOT-23",129.794000,-59.436000,0.000000,top
"Q3","S8050","SOT-23",141.986000,-30.480000,180.000000,top
"Q4","S8050","SOT-23",141.986000,-35.306000,180.000000,top
"R2","4.7k","R_0201_0603Metric_Pad0.64x0.40mm_HandSolder",127.508000,-59.436000,270.000000,top
"R3","68","R_0201_0603Metric_Pad0.64x0.40mm_HandSolder",136.652000,-27.686000,0.000000,top
"R4","10k","R_0201_0603Metric_Pad0.64x0.40mm_HandSolder",132.080000,-59.436000,90.000000,top
"R5","10k","R_0201_0603Metric_Pad0.64x0.40mm_HandSolder",141.986000,-28.194000,180.000000,top
"R6","10k","R_0201_0603Metric_Pad0.64x0.40mm_HandSolder",141.986000,-33.020000,180.000000,top
"R7","68","R_0201_0603Metric_Pad0.64x0.40mm_HandSolder",136.652000,-30.988000,0.000000,top
"R8","5.6k","R_0201_0603Metric_Pad0.64x0.40mm_HandSolder",117.856000,-32.766000,90.000000,top
"R9","5.6k","R_0201_0603Metric_Pad0.64x0.40mm_HandSolder",117.856000,-36.676500,270.000000,top
"R10","10k","R_0201_0603Metric_Pad0.64x0.40mm_HandSolder",150.114000,-35.560000,0.000000,top
"R11","68","R_0201_0603Metric_Pad0.64x0.40mm_HandSolder",136.652000,-34.036000,0.000000,top
"SW1","SW_Push","TE_Connectivity_FSM2JSMAA",150.749000,-29.591000,0.000000,top
"U1","MIC5219-3.3YM5","SOT-23-5",129.603500,-49.784000,0.000000,top
"U2","ESP32-WROOM-32","ESP32-WROOM-32",145.288000,-48.006000,270.000000,top
"U4","CH340B (or C)","SOIC-16_3.9x9.9mm_P1.27mm",123.190000,-33.274000,0.000000,top
